"","site","dist","p","pmin","pmax"
"31","Michigan",9.38083151964686,87.7462402651392,-78.7035404714901,254.196021001768
"32","Michigan",9.65118663784262,82.7108078222275,-80.2027156287095,245.624331273164
"33","Michigan",9.9293333776853,77.9596893619031,-81.4070190244788,237.326397748285
"34","Michigan",10.2154962933402,73.4773514675799,-82.3330925381596,229.287795473319
"35","Michigan",10.5099064106128,69.2490511901942,-82.9973001240757,221.495402504464
"36","Michigan",10.8128014134616,65.2608024223061,-83.4157698990189,213.937374743631
"37","Michigan",11.1244258358853,61.4993429212198,-83.6044011414861,206.603086983926
"38","Michigan",11.4450312593407,57.9521020756488,-83.5788469351968,199.483051086494
"39","Michigan",11.7748765158505,54.6071694924908,-83.354481072308,192.56882005729
"40","Michigan",12.1142278969638,51.4532644643895,-82.9463559611403,185.852884889919
"41","Michigan",12.4633593687395,48.479706364755,-82.3691566769436,179.328569406454
"42","Michigan",12.8225527929253,45.6763860046319,-81.6371549495356,172.989926958799
"43","Michigan",13.192098154511,43.0337379750784,-80.7641657802163,166.831641730373
"44","Michigan",13.5722937958401,40.5427139894069,-79.7635084980748,160.848936476889
"45","Michigan",13.9634466574683,38.1947572315869,-78.6479733732623,155.037487836436
"46","Michigan",14.3658725259634,35.9817777102092,-77.4297943733057,149.393349793724
"47","Michigan",14.7798962888471,33.8961286115224,-76.1206282509428,143.912885473988
"48","Michigan",15.205852196884,31.9305836400754,-74.7315398627429,138.592707142894
"49","Michigan",15.6440841339299,30.078315331335,-73.2729934157718,133.429624078442
"50","Michigan",16.0949458945568,28.3328743171934,-71.7548492056651,128.420597840052
"51","Michigan",16.5588014696798,26.6881695224634,-70.1863653284254,123.562704373352
"52","Michigan",17.0360253404144,25.138449268198,-68.5762038069496,118.853102343346
"53","Michigan",17.5270027804044,23.6782832558988,-66.9324405616458,114.289007073443
"54","Michigan",18.0321301668615,22.3025454053273,-65.2625786640729,109.867669474727
"55","Michigan",18.5518153005698,21.0063975176627,-63.5735643368446,105.58635937217
"56","Michigan",19.0864777351128,19.7852737350921,-61.871805197182,101.442352667366
"57","Michigan",19.6365491155879,18.6348657675419,-60.1631902814869,97.4329218165707
"58","Michigan",20.2024735270842,17.5511088571189,-58.4531114313366,93.5553291455745
"59","Michigan",20.7847078532015,16.5301684508928,-56.7464856652311,89.8068225670167
"60","Michigan",21.3837221449034,15.5684275528809,-55.04777820376,86.1846333095217
