"","site","dist","p","pmin","pmax"
"64","Ontario",17.2365985727332,50.6135087637324,-73.8795172416065,175.106534769071
"65","Ontario",17.8360848130155,47.1678234219965,-76.0325245344424,170.368171378435
"66","Ontario",18.4564210922874,43.9349844741524,-77.660977634673,165.530946582978
"67","Ontario",19.0983325716896,40.904748932704,-78.7974818052076,160.606979670616
"68","Ontario",19.7625696333553,38.0669694969246,-79.4776861625678,155.611625156417
"69","Ontario",20.449908757593,35.411657352191,-79.7389838082512,150.562298512633
"70","Ontario",21.1611534305762,32.9290347719797,-79.6194631645281,145.477532708488
"71","Ontario",21.8971350836039,30.6095783484073,-79.1570754408143,140.376232137629
"72","Ontario",22.6587140650272,28.4440537081154,-78.3889860686376,135.277093484868
"73","Ontario",23.4467806459804,26.4235425749862,-77.3510812942026,130.198166444175
"74","Ontario",24.2622560610905,24.5394630251456,-76.0776045034022,125.156530553693
"75","Ontario",25.1060935853825,22.7835837478984,-74.6009000758474,120.168067571644
"76","Ontario",25.9792796486402,21.1480330829376,-72.951245533398,115.247311699273
"77","Ontario",26.882834988523,19.6253035530362,-71.1567554338162,110.407362539889
"78","Ontario",27.8178158437884,18.2082525554966,-69.2433428597386,105.659847970732
"79","Ontario",28.7853151890154,16.8900998173756,-67.2347264794884,101.01492611424
"80","Ontario",29.7864640122701,15.6644221608644,-65.1524730279381,96.4813173496668
"81","Ontario",30.8224326372093,14.5251460676845,-63.0160666936703,92.0663588290393
"82","Ontario",31.8944320911658,13.4665384760768,-60.8429983244465,87.7760752766
"83","Ontario",33.0037155208165,12.4831961916845,-58.6488685973595,83.6152609807286
"84","Ontario",34.1515796570865,11.5700342448932,-56.4475003629048,79.5875688526912
"85","Ontario",35.3393663310025,10.7222734822712,-54.2510562822852,75.6956032468275
"86","Ontario",36.5684640422671,9.93542763880193,-52.0701586519879,71.9410139295918
"87","Ontario",37.8403095823889,9.20529010059074,-49.9140089651798,68.3245891663612
"88","Ontario",39.1563897142632,8.52792053458053,-47.7905053105184,64.8463463796795
"89","Ontario",40.5182429101698,7.89963153234066,-45.706356169067,61.5056192337483
"90","Ontario",41.9274611502169,7.31697538898863,-43.6671895512855,58.3011403292628
"91","Ontario",43.3856917833356,6.7767311155156,-41.6776567295143,55.2311189605455
"92","Ontario",44.8946394529985,6.27589176295193,-39.7415300766992,52.2933136026031
"93","Ontario",46.4560680899157,5.8116521196597,-37.8617947280022,49.4850989673216
"94","Ontario",48.071802974035,5.38139682831266,-36.0407339459856,46.8035276026109
"95","Ontario",49.7437328682594,4.98268895656429,-34.2800081989235,44.2453861120521
"96","Ontario",51.4738122263746,4.61325904477153,-32.5807280612581,41.8072461508011
"97","Ontario",53.2640634777674,4.27099464521003,-30.9435211202926,39.4855104107127
"98","Ontario",55.1165793916067,3.95393035977698,-29.368593128183,37.276453847737
"99","Ontario",57.0335255232506,3.66023837704156,-27.8557836768412,35.1762604309243
"100","Ontario",59.0171427457384,3.38821950449782,-26.404616698602,33.1810557075976
"101","Ontario",61.0697498693283,3.13629468784516,-25.014346110078,31.2869354857684
"102","Ontario",63.1937463521415,2.90299700593039,-23.6839969227359,29.4899909345966
"103","Ontario",65.3916151050828,2.68696412750941,-22.4124021432288,27.7863303982476
"104","Ontario",67.6659253943154,2.48693121411814,-21.198235780947,26.1720982091833
"105","Ontario",70.0193358446832,2.30172425198572,-20.0400422708531,24.6434907748245
"106","Ontario",72.4545975475925,2.13025379499658,-18.9362626075078,23.196770197501
"107","Ontario",74.9745572769842,1.97150910013858,-17.8852574720858,21.8282756723629
"108","Ontario",77.5821608171581,1.8245526366001,-16.8853276188177,20.5344328920179
"109","Ontario",80.2804564063375,1.68851494964601,-15.9347317712172,19.3117616705092
"110","Ontario",83.0725983000009,1.56258986056487,-15.0317022620714,18.1568819832011
"111","Ontario",85.9618504581464,1.4460299842977,-14.1744586348445,17.0665186034399
"112","Ontario",88.9515903607969,1.33814254679939,-13.3612194080936,16.0375045016924
"113","Ontario",92.0453129562101,1.23828548471853,-12.5902121889362,15.0667831583732
"114","Ontario",95.2466347464051,1.14586381058646,-11.859682306658,14.151409927831
"115","Ontario",98.5592980147832,1.06032622736183,-11.1679001233199,13.2885525780436
"116","Ontario",101.987175200785,0.981161976866332,-10.5131671647528,12.4754911184855
"117","Ontario",105.5342734267,0.90789790735653,-9.89382120268127,11.7096170173943
"118","Ontario",109.204739181909,0.840095746195408,-9.30824040687434,10.9884318992652
"119","Ontario",113.002863170057,0.777349564305095,-8.75484667520704,10.3095458038172
