site,dist,p,pmin,pmax
Arkansas,60.91233306488415,46.15361023020573,15.463205089440844,76.84401537097061
Arkansas,61.883042197793586,45.457014167867136,14.92767078353635,75.98635755219792
Arkansas,62.869220713885454,44.7366582880481,14.361145481987968,75.11217109410822
Arkansas,63.871115135838785,43.99289124133395,13.758608676552466,74.22717380611543
Arkansas,64.88897591495932,43.22618581607343,13.114350714892172,73.3380209172547
Arkansas,65.92305749378669,42.43714330785952,12.422091134174408,72.45219548154463
Arkansas,66.97361836969941,41.62649669094412,11.675162761151178,71.57783062073707
Arkansas,68.04092115953362,40.795112435441375,10.86676498128675,70.723459889596
Arkansas,69.12523266523115,39.943990829944404,9.990282952850343,69.89769870703847
Arkansas,70.22682394053425,39.074264690722345,9.03966088996513,69.10886849147956
Arkansas,71.34597035874299,38.18719636583684,8.009807869543543,68.36458486213013
Arkansas,72.48295168155244,37.28417297489893,6.897005693509257,67.6713402562886
Arkansas,73.63805212898681,36.36669986207433,5.699282394708188,67.03411732944046
Arkansas,74.8115604504482,35.43639228035525,4.416714091727098,66.4560704689834
Arkansas,76.00376999689759,34.49496536780687,3.051623195695523,65.93830753991821
Arkansas,77.21497879418585,33.544222520016255,1.6086519945055535,65.47979304552696
Arkansas,78.44548961755372,32.586042305714734,0.09470528363103625,65.07737932779844
Arkansas,79.69561006731877,31.62236411284109,-1.4812291600389358,64.72595738572112
Arkansas,80.96565264576891,30.6551727484999,-3.1083609768341205,64.41870647383392
Arkansas,82.25593483528061,29.686482246803042,-4.774449474228721,64.14741396783481
Arkansas,83.56677917768269,28.718319162114152,-6.466196324643736,63.902834648872044
Arkansas,84.89851335488451,27.75270564069122,-8.169649505242102,63.67506078662454
Arkansas,86.2514702707892,26.791642570429577,-9.870594467247638,63.45387960810679
Arkansas,87.62598813451216,25.83709310604021,-11.554914981844082,63.22910119392451
Arkansas,89.02241054492588,24.89096685566639,-13.208912444152787,62.99084615548557
Arkansas,90.4410865765519,23.95510499516186,-14.819577778064819,62.72978776838854
Arkansas,91.88237086682199,23.0312665489279,-16.374814139806784,62.43734723766258
Arkansas,93.3466237047291,22.12111604254923,-17.8636113992297,62.10584348432816
Arkansas,94.83421112089201,21.226212693940266,-19.276175110727042,61.72860049860758
Arkansas,96.34550497905457,20.348001267935874,-20.604013654364334,61.30001619023608
Arkansas,97.8808830690437,19.48780467590499,-21.839987692291544,60.81559704410152
Arkansas,99.44072920120806,18.646818358686996,-22.97832624608932,60.27196296346331
Arkansas,101.02543330236225,17.826106449476402,-24.014613692639873,59.66682659159268
Arkansas,102.63539151325986,17.0265996745657,-24.945751879945067,58.99895122907647
Arkansas,104.27100628761987,16.24909491520689,-25.769901421341125,58.2680912517549
Arkansas,105.93268649273101,15.494256324111387,-26.48640605359878,57.47491870182155
Arkansas,107.62084751165959,14.762617865830174,-27.09570374537158,56.620939477031925
Arkansas,109.33591134708583,14.054587131715369,-27.59922801629487,55.708402279725604
Arkansas,111.07830672679562,13.370450267371387,-27.999302672402948,54.740203207145726
Arkansas,112.84846921085227,12.710377843243316,-28.299032881122848,53.71978856760948
Arkansas,114.64684130047716,12.07443149684944,-28.502195202382346,52.65105819608123
Arkansas,116.47387254866548,11.46257117759711,-28.613128867300603,51.53827122249483
Arkansas,118.33001967256386,10.874662831470488,-28.63663026025901,50.38595592319999
Arkansas,120.21574666763993,10.310486372438879,-28.57785222251075,49.19882496738851
Arkansas,122.13152492367072,9.769743799486337,-28.442209464549634,47.981697063522304
Arkansas,124.07783334257968,9.252067331999037,-28.23529105823095,46.73942572222902
Arkansas,126.05515845815137,8.757027451211503,-27.962780684956197,45.4768355873792
Arkansas,128.0639945576542,8.284140750910995,-27.630385048452936,44.19866655027492
Arkansas,130.10484380540123,7.832877516117268,-27.243770623551267,42.9095256557858
Arkansas,132.1782163682799,7.402668963561922,-26.80850870802685,41.61384663515069
Arkansas,134.2846305432829,6.992914092144946,-26.330028573734122,40.31585675802401
Arkansas,136.42461288707003,6.602986104886511,-25.813578375306065,39.01955058507909
Arkansas,138.59869834759667,6.232238376036726,-25.26419336802599,37.72867012009944
Arkansas,140.8074303978379,5.88000994784676,-24.686670908688267,36.44669080438179
Arkansas,143.05136117164528,5.545630550984925,-24.08555166141296,35.17681276338281
Arkansas,145.33105160176774,5.228425150705084,-23.465106401216687,33.92195670262685
Arkansas,147.64707156007245,4.927718027676748,-22.829327798286055,32.68476385363955
Arkansas,149.99999999999997,4.642836407938758,-22.181926572006343,31.467599387883862
