state,location,wind,distance,rep,height
Michigan,Transect A,downwind,75,5,53
Michigan,Transect A,downwind,75,6,56
Michigan,Transect A,downwind,75,7,52
Michigan,Transect A,downwind,75,8,52
Michigan,Transect A,downwind,75,9,53
Michigan,Transect A,downwind,75,10,53
Michigan,Transect A,downwind,89.9,1,53
Michigan,Transect A,downwind,89.9,2,54
Michigan,Transect A,downwind,89.9,3,54
Michigan,Transect A,downwind,89.9,4,52
Michigan,Transect A,downwind,89.9,5,53
Michigan,Transect A,downwind,89.9,6,56
Michigan,Transect A,downwind,89.9,7,56
Michigan,Transect A,downwind,89.9,8,55
Michigan,Transect A,downwind,89.9,9,52
Michigan,Transect A,downwind,89.9,10,54
Michigan,Transect A,downwind,104.9,1,52
Michigan,Transect A,downwind,104.9,2,54
Michigan,Transect A,downwind,104.9,3,56
Michigan,Transect A,downwind,104.9,4,55
Michigan,Transect A,downwind,104.9,5,55
Michigan,Transect A,downwind,104.9,6,56
Michigan,Transect A,downwind,104.9,7,58
Michigan,Transect A,downwind,104.9,8,56
Michigan,Transect A,downwind,104.9,9,55
Michigan,Transect A,downwind,104.9,10,56
Michigan,Transect A,downwind,119.8,1,47
Michigan,Transect A,downwind,119.8,2,46
Michigan,Transect A,downwind,119.8,3,44
Michigan,Transect A,downwind,119.8,4,48
Michigan,Transect A,downwind,119.8,5,49
Michigan,Transect A,downwind,119.8,6,46
Michigan,Transect A,downwind,119.8,7,42
Michigan,Transect A,downwind,119.8,8,44
Michigan,Transect A,downwind,119.8,9,43
Michigan,Transect A,downwind,119.8,10,47
Michigan,Transect B,downwind,0,1,43
Michigan,Transect B,downwind,0,2,40
Michigan,Transect B,downwind,0,3,44
Michigan,Transect B,downwind,0,4,44
Michigan,Transect B,downwind,0,5,42
Michigan,Transect B,downwind,0,6,
Michigan,Transect B,downwind,0,7,
Michigan,Transect B,downwind,0,8,
Michigan,Transect B,downwind,0,9,
Michigan,Transect B,downwind,0,10,
Michigan,Transect B,downwind,0.8,1,42
Michigan,Transect B,downwind,0.8,2,44
Michigan,Transect B,downwind,0.8,3,40
Michigan,Transect B,downwind,0.8,4,41
Michigan,Transect B,downwind,0.8,5,39
Michigan,Transect B,downwind,0.8,6,
Michigan,Transect B,downwind,0.8,7,
Michigan,Transect B,downwind,0.8,8,
Michigan,Transect B,downwind,0.8,9,
Michigan,Transect B,downwind,0.8,10,
Michigan,Transect B,downwind,1.5,1,41
Michigan,Transect B,downwind,1.5,2,42
Michigan,Transect B,downwind,1.5,3,40
Michigan,Transect B,downwind,1.5,4,39
Michigan,Transect B,downwind,1.5,5,41
Michigan,Transect B,downwind,1.5,6,
Michigan,Transect B,downwind,1.5,7,
Michigan,Transect B,downwind,1.5,8,
Michigan,Transect B,downwind,1.5,9,
Michigan,Transect B,downwind,1.5,10,
Michigan,Transect B,downwind,2.3,1,40
Michigan,Transect B,downwind,2.3,2,39
Michigan,Transect B,downwind,2.3,3,43
Michigan,Transect B,downwind,2.3,4,42
Michigan,Transect B,downwind,2.3,5,40
Michigan,Transect B,downwind,2.3,6,
Michigan,Transect B,downwind,2.3,7,
Michigan,Transect B,downwind,2.3,8,
Michigan,Transect B,downwind,2.3,9,
Michigan,Transect B,downwind,2.3,10,
Michigan,Transect B,downwind,3,1,39
Michigan,Transect B,downwind,3,2,43
Michigan,Transect B,downwind,3,3,40
Michigan,Transect B,downwind,3,4,46
Michigan,Transect B,downwind,3,5,42
Michigan,Transect B,downwind,3,6,
Michigan,Transect B,downwind,3,7,
Michigan,Transect B,downwind,3,8,
Michigan,Transect B,downwind,3,9,
Michigan,Transect B,downwind,3,10,
Michigan,Transect B,downwind,4,1,45
Michigan,Transect B,downwind,4,2,43
Michigan,Transect B,downwind,4,3,40
Michigan,Transect B,downwind,4,4,42
Michigan,Transect B,downwind,4,5,44
Michigan,Transect B,downwind,4,6,46
Michigan,Transect B,downwind,4,7,44
Michigan,Transect B,downwind,4,8,41
Michigan,Transect B,downwind,4,9,44
Michigan,Transect B,downwind,4,10,42
Michigan,Transect B,downwind,7.9,1,38
Michigan,Transect B,downwind,7.9,2,37
Michigan,Transect B,downwind,7.9,3,39
