Row,Distance,Location,Cover,Rep,Injury,Height,DAT
2,0.5,N-3,Yes,2,40,56,14
2,0.5,N-3,Yes,3,45,53,14
3,1,N-3,Yes,1,35,54,14
3,1,N-3,Yes,2,30,56,14
3,1,N-3,Yes,3,30,57,14
4,1.5,N-3,Yes,1,30,55,14
4,1.5,N-3,Yes,2,25,64,14
4,1.5,N-3,Yes,3,25,54,14
5,2,N-3,Yes,1,25,57,14
5,2,N-3,Yes,2,20,55,14
5,2,N-3,Yes,3,25,58,14
6,2.5,N-3,Yes,1,20,59,14
6,2.5,N-3,Yes,2,20,58,14
6,2.5,N-3,Yes,3,20,58,14
7,3,N-3,Yes,1,20,59,14
7,3,N-3,Yes,2,20,57,14
7,3,N-3,Yes,3,15,58,14
8,3.5,N-3,Yes,1,15,59,14
8,3.5,N-3,Yes,2,15,58,14
8,3.5,N-3,Yes,3,15,57,14
9,4,N-3,Yes,1,15,52,14
9,4,N-3,Yes,2,10,56,14
9,4,N-3,Yes,3,10,57,14
10,4.5,N-3,Yes,1,10,56,14
10,4.5,N-3,Yes,2,5,55,14
10,4.5,N-3,Yes,3,5,57,14
11,5,N-3,Yes,1,10,53,14
11,5,N-3,Yes,2,5,56,14
11,5,N-3,Yes,3,5,54,14
12,5.5,N-3,Yes,1,8,53,14
12,5.5,N-3,Yes,2,5,54,14
12,5.5,N-3,Yes,3,10,55,14
13,6,N-3,Yes,1,5,57,14
13,6,N-3,Yes,2,5,58,14
13,6,N-3,Yes,3,5,57,14
14,6.5,N-3,Yes,1,5,56,14
14,6.5,N-3,Yes,2,5,55,14
14,6.5,N-3,Yes,3,5,59,14
15,7,N-3,Yes,1,5,60,14
15,7,N-3,Yes,2,2,55,14
15,7,N-3,Yes,3,5,59,14
16,7.5,N-3,Yes,1,2,60,14
16,7.5,N-3,Yes,2,2,57,14
16,7.5,N-3,Yes,3,2,56,14
17,8,N-3,Yes,1,2,58,14
17,8,N-3,Yes,2,2,56,14
17,8,N-3,Yes,3,2,59,14
18,8.5,N-3,Yes,1,2,53,14
18,8.5,N-3,Yes,2,2,55,14
18,8.5,N-3,Yes,3,2,54,14
19,9,N-3,Yes,1,2,52,14
